2016-02-01 18:06:18,606 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.RegistrationPage:RegistrationPage:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/pom.xml.
2016-02-01 18:06:25,594 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:06:25,620 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/main/resources
2016-02-01 18:06:25,627 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:06:25,628 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/test/resources
2016-02-01 18:06:26,519 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RegistrationPage/src
2016-02-01 18:06:26,523 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /RegistrationPage/src/test/java because it overlaps with /RegistrationPage/src
2016-02-01 18:06:28,008 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:06:28,019 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/main/resources
2016-02-01 18:06:28,028 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:06:28,029 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/test/resources
2016-02-01 18:06:28,955 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-02-01 18:06:29,894 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.RegistrationPage:RegistrationPage:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/pom.xml.
2016-02-01 18:06:31,246 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:06:31,254 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/main/resources
2016-02-01 18:06:31,262 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:06:31,263 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/test/resources
2016-02-01 18:06:31,276 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of RegistrationPage
2016-02-01 18:06:31,280 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for RegistrationPage
