2016-01-19 13:12:48,516 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.RestfullWebServices:RestfullWebOperations:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/pom.xml.
2016-01-19 13:13:52,352 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:13:52,495 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/main/resources
2016-01-19 13:13:52,501 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:13:52,505 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/test/resources
2016-01-19 13:13:52,639 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RestfullWebOperations/src
2016-01-19 13:13:52,641 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /RestfullWebOperations/src/test/java because it overlaps with /RestfullWebOperations/src
2016-01-19 13:13:58,577 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:13:58,579 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/main/resources
2016-01-19 13:13:58,581 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:13:58,582 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/test/resources
2016-01-19 13:14:14,856 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-01-19 13:16:02,280 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.RestfullWebServices:RestfullWebOperations:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/pom.xml.
2016-01-19 13:22:49,047 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.RestfullWebServices:RestfullWebOperations:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/pom.xml.
2016-01-19 13:22:49,049 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.RestfullWebServices:RestfullWebOperations:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/pom.xml.
2016-01-19 13:22:58,223 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:22:58,231 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/main/resources
2016-01-19 13:22:58,241 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:22:58,244 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/test/resources
2016-01-19 13:23:00,937 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.RestfullWebServices:RestfullWebOperations:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/pom.xml.
2016-01-19 13:23:03,338 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:23:03,340 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/main/resources
2016-01-19 13:23:03,346 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:23:03,348 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/test/resources
2016-01-19 13:24:45,486 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.RestfullWebServices:RestfullWebOperations:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/pom.xml.
2016-01-19 13:24:49,553 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:24:49,580 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/main/resources
2016-01-19 13:24:49,589 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-19 13:24:49,590 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/Restful/RestfullWebOperations/src/test/resources
2016-01-19 13:24:49,656 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of RestfullWebOperations
2016-01-19 13:24:49,676 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for RestfullWebOperations
2016-01-19 13:24:50,181 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
